"Sloeber";"Fermentation haute";"7,5";"Brasserie Roman"
"Smisje Kerst";"Ambrée";"11";"Brasserie Smisje"
"Smiske";"Blonde";"7";"Brasserie Smisje"
"Smiske Bruin";"Double";"7";"Brasserie Smisje"
"Smiske Extra";"Triple";"7";"Brasserie Smisje"
"Smiske Winter";"Ambrée";"11";"Brasserie Smisje"
"SnaasBière de Noël";"Bière de Noël";"8";"Brasserie Deca"
"Snoek Blond";"Fermentation haute";"7,5";"Brasserie Bavik pour “Mout- en Brouwhuis De Snoek”"
"Snoek Bruin";"Fermentation haute";"5,5";"Brasserie Strubbe pour “Mout- en Brouwhuis De Snoek”"
"Snuffelbeer";"Blonde dirée, Fermentation haute";"6";"Brasserie De Regenboog"
"Sparta Pils";"Pils";"5";"Brasserie Van Steenberge"
"Special 6 Block";"Ambrée, Fermentation haute";"6";"Brasserie De Block"
"Special De Ryck";"Fermentation haute, Ambrée";"5,5";"Brasserie De Ryck"
"Special Extra Export Stout";"Stout";"9";"De Dolle Brouwers"
"Special Roman";"Brune";"5,5";"Brasserie Roman"
"Speciale 1900";"Ambrée";"5";"Brasserie Haacht"
"Spéciale de Brabant";"Pils";"5,3";"Groupe John Martin"
"Spéciale Gigi";"Bière de table";"2,5";"Brasserie Gigi"
"La Spéciale Fêtes";"Bière de Noël";"8,5";"Brasserie de Bouillon"
"Speculoos bière";"Fermentation haute (Bière-étiquette)";"8";"Brasserie d'Écaussinnes"
"Spelziale";"Ale";"4,5";"Brasserie Millevertus"
"Spioenkopje";"Fruitée, Blanche";"5";"Brasserie Strubbe pour den Haene"
"Spitfire Oud Balegems";"Ambrée";"8,0";"Brasserie Van Steenberge"
"Sint-Amatus";"Quadruple";"10,5";"Brasserie Deca pour De Struise Brouwers"
"St. Bernardus Abt 12";"Fermentation haute";"10,5";"Brasserie St. Bernardus"
"St. Bernardus Christmas Ale";"Bière de Noël";"10";"Brasserie St. Bernardus"
"St. Bernardus Extra 4";"Blonde";"4,8";"Brasserie St. Bernardus"
"St. Bernardus Pater 6";"Fermentation haute";"6,7";"Brasserie St. Bernardus"
"St. Bernardus Prior 8";"Fermentation haute";"8";"Brasserie St. Bernardus"
"St. Bernardus Tripel";"Fermentation haute, Triple";"8";"Brasserie St. Bernardus"
"St. Bernardus Witbier";"Blanche";"5,5";"Brasserie St. Bernardus"
"Sint-Idesbald Réserve Ten Duinen Blond";"Abbaye";"6,5";"Brasserie Huyghe"
"Sint-Idesbald Réserve Ten Duinen Dubbel";"Abbaye";"8";"Brasserie Huyghe"
"Sint-Idesbald Réserve Ten Duinen Rousse";"Abbaye";"7";"Brasserie Huyghe"
"Sint-Idesbald Réserve Ten Duinen Tripel";"Abbaye, Triple";"9";"Brasserie Huyghe"
"St. Benoit Blonde";"Abbaye";"6,3";"Brasserie du Bocq"
"St. Benoit Brune";"Abbaye";"6,5";"Brasserie du Bocq"
"St. Feuillien Blonde";"Abbaye";"7,5";"Brasserie St-Feuillien"
"St. Feuillien Brune Réserve";"Abbaye";"7,5";"Brasserie St-Feuillien"
"Grand Cru St-Feuillien Grand Cru";"Abbaye";"9,5";"Brasserie St-Feuillien"
"St. Feuillien Triple";"Abbaye";"8,5";"Brasserie St-Feuillien"
"St. Feuillien Cuvée de Noël";"Abbaye, Bière de Noël";"8,5";"Brasserie St-Feuillien"
"St. Firminus Blond";"Abbaye";"";"Brasserie du Bocq"
"St. Firminus Bruin";"Abbaye";"";"Brasserie du Bocq"
"St. Louis Gueuze Fond Tradition";"Gueuze";"5";"Brasserie Van Honsebrouck"
"St. Louis Kriek Lambic";"Kriek";"4,5";"Brasserie Van Honsebrouck"
"St. Louis Premium Gueuze";"Gueuze";"4,5";"Brasserie Van Honsebrouck"
"St. Louis Premium Framboise";"Fruitée";"2,8";"Brasserie Van Honsebrouck"
"St. Louis Premium Kriek";"Kriek";"3,2";"Brasserie Van Honsebrouck"
"St. Louis Premium Pêche";"Fruitée";"2,6";"Brasserie Van Honsebrouck"
"St. Paul Blond";"Abbaye";"5,3";"Brasserie du Bocq pour la Brasserie Sterkens"
"St. Paul Double";"Abbaye";"6,9";"Brasserie du Bocq pour la Brasserie Sterkens"
"St. Paul Speciale";"Abbaye";"5,5";"Brasserie du Bocq pour la Brasserie Sterkens"
"St. Paul Tripel";"Abbaye, Triple";"5";"Brasserie du Bocq pour la Brasserie Sterkens"
"St. Sebastiaan Dark";"Abbaye";"6,9";"Brasserie du Bocq pour la Brasserie Sterkens"
"St. Sebastiaan Grand Cru";"Abbaye";"7,6";"Brasserie du Bocq pour la Brasserie Sterkens"
"Star Blond";"Blonde";"0,4";"Brasserie Haacht"
"Steenbrugge Blond";"Abbaye, Blonde";"6,5";"Brasserie Palm"
"Steenbrugge Dubbel Bruin";"Abbaye, Triple, Brune";"6,5";"Brasserie Palm (précédemment brassée dans la Brasserie De Gouden Boom)"
"Steenbrugge Tripel";"Abbaye, Triple";"8,7";"Brasserie Palm (précédemment brassée dans la Brasserie De Gouden Boom)"
"Steenbrugge Wit";"Blanche";"5";"Brasserie Palm"
"Steendonk";"Blanche";"4,5";"Brasserie Duvel Moortgat"
"Steenuilke";"Fermentation haute";"6,5";"Brasserie De Rijck"
"Stella Artois";"Pils, Fermentation basse";"5,2";"InBev"
"Stepa";"Triple";"8";"De Proefbrouwerij pour Stepaja bvba"
"Stille Nacht";"Brune";"12";"De Dolle Brouwers"
"Stoeren Bonk";"Ambrée";"6,3";"Brasserie Van Steenberge"
"Stoeren Bonk Blond";"Blonde";"8";"Brasserie Van Steenberge"
"Stout Leroy";"Stout";"5";"Brasserie Het Sas"
"Stoute Bie";"Brune";"5,5";"Brasserie De Bie"
"Stouterik";"Stout";"4,5";"Brasserie de la Senne"
"Stout Vandenheuvel";"Stout";"5,8";"Brasserie L'Imprimerie"
"Straffe Hendrik";"Fermentation haute, Triple";"9";"Brasserie De Halve Maan"
"Straffe Hendrik Quadrupel";"Fermentation haute, Spéciale";"11";"Brasserie De Halve Maan"
"Straffe Toeback";"Fermentation haute";"9,5";"Scheldebrouwerij"
"Straffe Winter";"Gueuze";"8";"Gueuzestekerij 3 fonteinen"
"Strandgaper";"Blonde dorée";"6,2";"De Scheldebrouwerij"
"Strandjuttersbière Mong De Vos";"Quadruple";"9,2";"Brasserie Strubbe pour Den Haene"
"Stropken";"Ambrée";"7";"Brasserie Bios"
"Strubbe Pils";"Pils";"5,2";"Brasserie Strubbe"
"Struise Rosse";"Fermentation haute, Ale";"5";"Brasserie Deca pour De Struise Brouwers"
"Struise Witte";"Fermentation haute";"5";"Brasserie Deca pour De Struise Brouwers"
"Struiselensis";"Fermentation haute, Blonde, Ale";"7";"Brasserie Deca pour De Struise Brouwers"
"Suma Pils";"(Bière-étiquette)";"5";"Brasserie Het Sas"
"Super 64";"Fermentation haute, Ambrée";"5";"Brasserie de Silly"
"Super des Fagnes Blonde";"Fermentation haute, Blonde";"7,5";"Brasserie des Fagnes"
"Super des Fagnes Brune";"Fermentation haute, Brune";"7,5";"Brasserie des Fagnes"
"Super des Fagnes Griottes";"Fermentation haute, Kriek";"4,8";"Brasserie des Fagnes"
"Super des Fagnes Noël";"Fermentation haute, Brune";"8,5";"Brasserie des Fagnes"
"Super des Fagnes Scotch";"Fermentation haute, Brune";"7,5";"Brasserie des Fagnes"
"Superpils";"Pils";"4,3";"Brasserie Strubbe"
"Sur-les-Bois Ambrée";"Fermentation haute";"8";"Brasserie La Botteresse de Sur-les-Bois"
"Sur-les-Bois Blonde";"Fermentation haute";"7";"Brasserie La Botteresse de Sur-les-Bois"
"Sur-les-Bois Brune";"Fermentation haute";"9";"Brasserie La Botteresse de Sur-les-Bois"
"Svea IPA";"IPA";"5";"Brasserie Deca pour De Struise Brouwers"
"'t Baronneke";"Stout";"6,5";"'t Hofbrouwerijke"
"'t Gaverhopke Blondje";"Fermentation haute";"6,8";"Brasserie 't Gaverhopke"
"'t Gaverhopke Bruintje";"Fermentation haute";"6,8";"Brasserie 't Gaverhopke"
"'t Gaverhopke Bière de Noël";"Fermentation haute, Bière de Noël";"6,8";"Brasserie 't Gaverhopke"
"'t Gaverhopke Kriek";"Fermentation haute, Fruitée";"6,8";"Brasserie 't Gaverhopke"
"'t Gaverhopke Paasbier";"Fermentation haute, Bière de Saint-Louis";"8";"Brasserie 't Gaverhopke"
"'t Schoenlappertje";"Fruitée";"6,5";"De Scheldebrouwerij"
"'t Smisje + dubbel IPA";"IPA";"10";"Brasserie De Regenboog"
"'t Smisje Banananbière";"Fruitée";"6";"Brasserie De Regenboog"
"'t Smisje BBBourgondier";"Fermentation haute";"12";"Brasserie De Regenboog"
"'t Smisje Blond";"Fermentation haute";"6";"Brasserie De Regenboog"
"'t Smisje Calva Reserva";"Fermentation haute";"12";"Brasserie De Regenboog"
"'t Smisje Catherine The Great Imperial Stout";"Stout";"10";"Brasserie De Regenboog"
"'t Smisje Cuvee 2005";"Fermentation haute";"10";"Brasserie De Regenboog"
"'t Smisje Dubbel";"Fermentation haute";"9";"Brasserie De Regenboog"
"'t Smisje Fiori";"Fermentation haute";"7";"Brasserie De Regenboog"
"'t Smisje Grande Reserva";"Fermentation haute";"11";"Brasserie De Regenboog"
"'t Smisje Great Reserva";"Fermentation haute";"10";"Brasserie De Regenboog"
"'t Smisje Halloween";"Fermentation haute";"10,5";"Brasserie De Regenboog"
"'t Smisje Honing";"Bière au miel";"6";"Brasserie De Regenboog"
"'t Smisje Bière au miel Bruin";"Bière au miel";"6";"Brasserie De Regenboog"
"'t Smisje Kuvee Elektrik 979 W";"Fermentation haute";"9";"Brasserie De Regenboog"
"'t Smisje Meso";"Fermentation haute";"2,5";"Brasserie De Regenboog"
"'t Smisje Sleedoornbière";"Fruitée";"6";"Brasserie De Regenboog"
"'t Smisje Sleedoorn Extra";"Fruitée";"7";"Brasserie De Regenboog"
"'t Smisje Speciaal";"Fermentation haute";"10,5";"Brasserie De Regenboog"
"'t Smisje Tripel";"Triple";"9";"Brasserie De Regenboog"
"'t Zelfde";"Blonde";"4";"Brasserie Bosteels"
"'t Zwarte Gat bière";"Blonde";"6";"Brasserie De Regenboog"
"Tania";"Blonde";"6,5";"Brasserie Saint-Monon"
"Taras Boulba";"Blonde";"4,5";"Brasserie de la Senne"
"Tatsevoet";"Spéciale";"6";"Brasserie Het Alternatief par la Brasserie Alvinne"
"Tempelier";"Spéciale";"6";"Brasserie du Bocq pour la Brasserie Corsendonk"
"Ter Dolen Blond";"Blonde";"6,1";"Kasteelbrouwerij De Dool"
"Ter Dolen Donker";"Brune";"7,1";"Brasserie Ter Dolen"
"Ter Dolen Kriek";"Fruitée";"4,5";"Brasserie Ter Dolen"
"Ter Dolen Tripel";"Triple";"8,1";"Brasserie Ter Dolen"
"Terracotta";"Blonde";"7";"Brasserie De Regenboog"
"The Pom";"Fruitée";"5,2";"Brasserie Grain d'Orge"
"Thouroutenaere";"Blonde";"8,5";"Alken-Maes (Heineken)"
"Timmermans Caveau Gueuze";"Gueuze";"5,5";"Brasserie Timmermans"
"Timmermans Faro Lambic";"Faro";"4";"Brasserie Timmermans"
"Timmermans Framboise Lambic";"Fruitée";"4";"Brasserie Timmermans"
"Timmermans Gueuze Lambic";"Gueuze";"5";"Brasserie Timmermans"
"Timmermans Kriek Lambic";"Kriek";"4";"Brasserie Timmermans"
"Timmermans Kriek Retro";"Fruitée";"5";"Brasserie Timmermans"
"Timmermans Lambicus Blanche";"Blanche";"4,5";"Brasserie Timmermans"
"Timmermans Oude Gueuze";"Lambic";"5,5";"Brasserie Timmermans"
"Timmermans Oude Kriek";"Kriek";"5,5";"Brasserie Timmermans"
"Timmermans Pêche Lambic";"Fruitée";"4";"Brasserie Timmermans"
"Timmermans Strawberry Lambic";"Fruitée";"4";"Brasserie Timmermans"
"Timmermans Warme Kriek";"Kriek";"4";"Brasserie Timmermans"
"Tineke Van Heule";"Fermentation haute";"8";"Brasserie Gulden Spoor"
"Titje";"Fermentation haute, Blanche";"5";"Brasserie de Silly"
"Toetëlèr Amber Tripel";"Triple";"8,5";"Brasserie Den Toetëlèr"
"Toetëlèr Speculaas";;"8,5";"Brasserie Den Toetëlèr"
"Toetëlèr Wit";"Blanche";"5,2";"Brasserie Den Toetëlèr"
"Tongerlo Blond";"Fermentation haute, Abbaye";"6";"Brasserie Haacht"
"Tongerlo Bruin";"Fermentation haute, Abbaye";"6";"Brasserie Haacht"
"Tongerlo Christmas";"Fermentation haute, Abbaye";"6,5";"Brasserie Haacht"
"Tongerlo Tripel";"Fermentation haute, Abbaye, Triple";"8";"Brasserie Haacht"
"Tongerlo Prior";"Fermentation haute, Abbaye";"8";"Brasserie Haacht"
"Tonneke";"Fermentation haute, Ambrée";"5";"Brasserie Contreras"
"Toria Blond";"Fermentation haute";"6,5";"Brasserie De Graal pour la De Hoevebrouwers"
"Toria Tripel";"Fermentation haute, Triple";"8,7";"Brasserie De Graal pour De Hoevebrouwers"
"Totentrekker";"Ambrée";"5,5";"De Proefbrouwerij pour Buitenlust"
"Tournay";"Fermentation haute";"6,7";"Brasserie de Cazeau"
"Tournay de Noël";"Stout, Bière de Noël";"8,2";"Brasserie de Cazeau"
"Tournay Noire";"Stout";"7,6";"Brasserie de Cazeau"
"Tournay Triple";"Blonde, Fermentation haute, Triple";"9";"Brasserie de Cazeau"
"Tournée Générale";"Spéciale";"6,5";"Brasserie Duvel Moortgat"
"Tournée Générale Tripel Hop";"Blonde, Fermentation haute, Triple";"7,5";"Brasserie Palm"
"Toverhekske";"Ambrée";"5,9";"Brasserie Walrave"
"Trammelantje";"Ambrée";"6,5";"Brasserie Strubbe pour Den Haene"
"Trappieter";"Ambrée";"6,5";"De Proefbrouwerij pour Trappieter"
"Tremist";"Fermentation haute, Blonde";"6";"Brasserie Van Eecke pour Extremis"
"Triest Blond";"Fermentation haute";"6";"Microbrasserie Den Triest"
"Triest Dubbel";"Fermentation haute";"8";"Microbrasserie Den Triest"
"Triest Kriek";"Blanche, Fruitée";"5,2";"Microbrasserie Den Triest"
"Triest Tripel";"Fermentation haute, Triple";"7,5";"Microbrasserie Den Triest"
"Triest X-mas";"Fermentation haute, Bière de Noël";"8,5";"Microbrasserie Den Triest"
"Tripel Kanunnik";"Triple";"8,2";"Brasserie en stokerij Wilderen"
"Tripel Karmeliet";"Triple";"8,4";"Brasserie Bosteels"
"Tripel Klok";"Triple";"8,5";"Brasserie Boelens"
"Tripel Trezeke";"Triple";"7,5";"Brouwerij Anders"
"Triple de Brabant";"Triple, Blonde";"8,5";"Groupe John Martin"
"Triple Moine";"Triple";"7,3";"Brasserie du Bocq"
"Trisser";"Triple";"7,5";"De Proefbrouwerij pour De Verhuisbrouwerij"
"Triverius";"Blanche";"6,8";"Brasserie De Graal"
"La Trompeuse";"Fermentation haute";"6,9";"Brasserie Jean Tout Seul"
"Troubadour Blond";"Blonde";"6,5";"De Proefbrouwerij pour la Brasserie The Musketeers"
"Troubadour Imperial Stout";"Stout";"9";"De Proefbrouwerij pour la Brasserie The Musketeers"
"Troubadour Magma";"Triple, IPA";"9";"De Proefbrouwerij pour Bla rasserie The Musketeers"
"Troubadour Obscura";"Stout";"8,2";"De Proefbrouwerij pour la Brasserie The Musketeers"
"Troubadour Spéciale";"Spéciale";"5,7";"De Proefbrouwerij pour Bla rasserie The Musketeers"
"Troublette";"Blanche";"5";"Brasserie Caracole"
"Trouffette Belle d'Ėté";"Blonde";"6";"Brasserie de Bastogne"
"Trouffette Blonde";"Blonde";"6";"Brasserie de Bastogne"
"Trouffette Brune";"Brune";"6,8";"Brasserie de Bastogne"
"Trouffette Givrée";"Noire";"8,1";"Brasserie de Bastogne"
"Trouffette Rousse";"Rousse";"7,5";"Brasserie de Bastogne"
"TRPL";"Fermentation haute, Bio, Triple";"8";"De Proefbrouwerij pour la Brasserie Jessenhofke"
"Tsjeeses";"Fermentation haute, Blonde";"10";"De Struise Brouwers"
"Tsjeeses Reserva";"Fermentation haute, Blonde dorée";"10";"De Struise Brouwers"
"Tumulus 800";"Blanche";"6";"De Proefbrouwerij pour De Kale Ridders"
"Tumulus Aura";"Blanche";"5,5";"De Proefbrouwerij pour De Kale Ridders"
"Tumulus Magna";"Blanche";"9";"De Proefbrouwerij pour De Kale Ridders"
"Tumulus Nera";"Blanche";"8";"De Proefbrouwerij pour De Kale Ridders"
"Turnhoutse Patriot";"Saison";"6,5";"Scheldebrouwerij pour la Hobbybrouwerij Het Nest"
"Tuverbol";"Fermentation mixte";"11";"Brasserie Loterbol"
"Uilenspiegelbière";"Double";"7";"Brasserie Van Steenberge"
"Uitzet 1730";"Triple";"6,8";"Brasserie Van Steenberge pour la Brasserie Paeleman"
"Uitzet Kriekbière";"Fruitée";"7,5";"Brasserie Van Steenberge pour la Brasserie Paeleman"
"Ulricher Extra";"Pils";"5";"Brasserie Girardin"
"Ultra Ambrée";"Ale, Ambrée, Fermentation haute";"7";"Brasserie d'Écaussinnes"
"Ultra Fraîche";"Blonde";"3,5";"Brasserie d'Écaussinnes"
"Ultra Soif";"Blonde, Fermentation haute";"5";"Brasserie d'Écaussinnes"
"Ultramour";"Fruitée";"5";"Brasserie d'Écaussinnes"
"Ultra Blonde";"Blonde";"8";"Brasserie d'Écaussinnes"
"Ultradélice";"Brune";"8";"Brasserie d'Écaussinnes"
"Ultrabrune";"Brune";"10";"Brasserie d'Écaussinnes"
"Unkerzak";"";"";"De Proefbrouwerij"
"Urchon";"Fermentation haute";"7,5";"Brasserie des Légendes"
"Urthel Hop-It";"Blonde, IPA";"9,5";"Brasserie De Koningshoeven pour Brasserie Urthel"
"Urthel Hibernus Quentum";"Triple";"9";"Brasserie De Leyerth"
"Urthel Parlus Magnificum";"Brune";"7,5";"Brasserie De Leyerth"
"Urthel Saisonnière";"Blonde, Spéciale";"6,0";"Brasserie De Koningshoeven pour Brasserie Urthel"
"Urthel Samaranth";"Ambrée, Spéciale, Fermentation haute";"11,5";"Brasserie De Koningshoeven pour Brasserie Urthel"
"Urthel Tonicum Finiboldus";"Ambrée";"7,5";"Brasserie De Leyerth"
"Val-Dieu Blonde";"Abbaye";"6";"Abbaye du Val-Dieu"
"Val-Dieu Brune";"Abbaye";"8";"Abbaye du Val-Dieu"
"Val-Dieu Grand Cru";"Abbaye";"10,5";"Abbaye du Val-Dieu"
"Val-Dieu Triple";"Abbaye, Triple";"9";"Abbaye du Val-Dieu"
"Valeir Blond";"Fermentation haute, Blonde";"6,5";"Brasserie Contreras"
"Valeir Divers";"Fermentation haute, Triple";"8,5";"Brasserie Contreras"
"Valeir Donker";"Fermentation haute";"6,5";"Brasserie Contreras"
"Valeir Extra";"Fermentation haute, IPA";"6,5";"Brasserie Contreras"
"Vanderghinste Vieille brune";"Vieille brune";"5,5";"Brasserie Bockor"
"Vapeur cochonne";"Ale";"9";"Brasserie à Vapeur"
"La Vapeur en Folie";;"8";"Brasserie à Vapeur"
"La Vapeur Légère";;"5";"Brasserie à Vapeur"
"La Vauban";"Abbaye";"6";"Brasserie de Bouillon"
"Le Vaurien";"Fermentation haute, Blonde";"5,7";"Brasserie de Grandvoir"
"Vedett Extra Blond";"Blonde";"5,2";"Brasserie Duvel Moortgat"
"Vedett Extra White";"Blanche";"4,7";"Brasserie Duvel Moortgat"
"Verhaeghe Pils";"Pils";"5,1";"Brasserie Verhaeghe"
"La Vermontoise";"Blonde";"6";"Brasserie de Blaugies"
"Vicardin";"Triple, Gueuze";"7";"Brasserie Dilewyns"
"Vicaris Generaal";"Fermentation haute";"8,8";"Brasserie Dilewyns"
"Vicaris Kerst";"Fermentation haute, Bière de Noël";"10";"Brasserie Dilewyns"
"Vicaris Tripel";"Fermentation haute, Triple";"8,5";"Brasserie Dilewyns"
"Vicaris Quinto";"Fermentation haute";"5";"Brasserie Dilewyns"
"Vichtenaar";"Rouge-brune, Ale";"5,1";"Brasserie Verhaeghe"
"Vieux Bruges Blanche";"Blanche (Bière-étiquette)";"4,5";"Brasserie Van Honsebrouck"
"Vieux Bruges Framboise(s)";"Fruitée";"5 en 4,5";"Brasserie Van Honsebrouck"
"Vieux Bruges Gueuze";"Gueuze";"5";"Brasserie Van Honsebrouck"
"Vieux Bruges Kriek";"(Bière-étiquette)";"3,2";"Brasserie Van Honsebrouck"
"Vieux Bruges Kriek Lambic";"(Bière-étiquette)";"5";"Brasserie Van Honsebrouck"
"Vieux Bruges Peche";"Fruitée";"3,5";"Brasserie Van Honsebrouck"
"Vieux Bruxelles Gueuze";"(Bière-étiquette)";"5";"Brasserie Van Honsebrouck"
"Vieux Bruxelles Kriek";"(Bière-étiquette)";"4";"Brasserie Van Honsebrouck"
"Vieux Temps";"Spéciale";"5,2";"AB Inbev"
"Vigneronne";"Fruitée, Lambic";"6";"Brasserie Cantillon"
"Villée";"Blonde";"5,9";"Brasserie de Silly pour la distillerie de Biercée"
"Villers Tripel";"Abbaye, Triple";"8";"Brasserie Huyghe"
"Villers Vieille";"Abbaye";"7";"Brasserie Huyghe"
"Viven Ale";"Spéciale";"5";"De Proefbrouwerij pour Beerdevelopment Viven"
"Viven Blond";"Blonde";"6,1";"De Proefbrouwerij pour Beerdevelopment Viven"
"Viven Bruin";"Double";"6,1";"De Proefbrouwerij pour Beerdevelopment Viven"
"Viven Imperial IPA";"IPA";"8";"De Proefbrouwerij pour Beerdevelopment Viven"
"Viven Porter";"Porter";"7";"De Proefbrouwerij pour Beerdevelopment Viven"
"Vlaamsch Wit";"Blanche";"4,5";"Brasserie Van Honsebrouck"
"Vlaamsche Leeuw Blondje";"Blonde";"5,5";"Brasserie Van Steenberge pour la Brasserie van Vlaanderen"
"Vlaamsche Leeuw Donker";"Brune";"7,5";"Brasserie Van Steenberge pour la Brasserie van Vlaanderen"
"Vlaamsche Leeuw Tripel";"Triple";"8,5";"Brasserie Van Steenberge pour la Brasserie van Vlaanderen"
"Vlasbière";"Blonde";"6,5";"Brasserie Van Eecke"
"Vlaskapelle";"Rouge-brune";"5";"Brasserie Gulden Spoor"
"Vlaskop";"Blanche";"5,5";"Brasserie Strubbe"
"Vleteren Alt";"Brune";"8";"Brasserie Deca"
"Vleteren Super 8 Blond";"Blonde";"8";"Brasserie Deca"
"Vondel";"Brune";"8,5";"Brasserie Liefmans"
"Vossen met de Meynen Blond";"(Bière-étiquette)";"6,5";"Brasserie Het Anker"
"Vossen met de Meynen 69";"Fermentation haute, Blonde";"6,9";"Brasserie Hof ten Dormaal"
"Vurig bièrereke";"Triple";"11,5";"Brasserie DijkWaert"
"Vuuve";"Blanche";"5";"Brasserie De Regenboog"
"Waas Klok bière Bruin";"Brune";"8,5";"Brasserie Boelens"
"Waas Klok bière Tripel";"Triple";"8,5";"Brasserie Boelens"
"Waase Wolf";"Ambrée";"6";"Brasserie Boelens"
"Waaslander";"Blanche";"5";"Brasserie Boelens"
"Warsage Blonde";"Blonde";"6,5";"Brasserie de Warsage"
"Warsage Brune";"Brune";"9";"Brasserie de Warsage"
"Warsage Triple";"Blonde, Triple";"8,5";"Brasserie de Warsage"
"Waterloo Cuvée impériale";"Bière rubis, Triple";"9,4";"Microbrasserie de Waterloo (fait partie du groupe John Martin)"
"Waterloo Récolte";"Blonde";"6";"Microbrasserie de Waterloo (fait partie du groupe John Martin)"
"Waterloo Récolte Dark";"Brune";"6";"Microbrasserie de Waterloo (fait partie du groupe John Martin)"
"Waterloo Strong Dark (ancienne Double 8 Dark)";"Brune";"8";"Microbrasserie de Waterloo (fait partie du groupe John Martin)"
"Waterloo Strong Kriek";"Bière fruitée";"8";"Microbrasserie de Waterloo (fait partie du groupe John Martin)"
"Waterloo Tripel Blond (ancienne Tripel 7 Blond)";"Blonde, Triple";"8";"Microbrasserie de Waterloo (fait partie du groupe John Martin)"
"La Waterlootoise";"Triple";"9";"Brasserie Van Steenberge"
"Watneys Scotch Ale";"Ale";"8";"Alken-Maes (Heineken)"
"Watou Tripel";"Triple";"7,5";"Brasserie St. Bernardus"
"Watou's Wit";"Blanche";"5";"Brasserie Van Eecke"
"Wechelse Tripel";"(Bière-étiquette)";"7,5";"Brasserie St. Bernardus pour café Den Toerist"
"West Pils";"Pils";"5";"Brasserie Het Sas"
"Westhoek";"Fermentation haute";"6";"De Struise Brouwers"
"Westhoek XX";"Fermentation haute";"6";"De Struise Brouwers"
"Westmalle Dubbel";"Trappiste";"7";"Abbaye Notre-Dame du Sacré-Cœur de Westmalle"
"Westmalle Tripel";"Trappiste";"9,5";"Abbaye Notre-Dame du Sacré-Cœur de Westmalle"
"Westvleteren Blond";"Trappiste";"5,8";"Abbaye de Saint-Sixte"
"Westvleteren Zes";"Trappiste";"6,2";"Abbaye de Saint-Sixte"
"Westvleteren 8";"Trappiste";"8";"Abbaye de Saint-Sixte"
"Westvleteren 12";"Trappiste";"10,2";"Abbaye de Saint-Sixte"
"Wevelgemse Tripel";"Triple";"8";"Brasserie De Ranke pour bierwinkel Bacelle"
"White by Mystic";"Blanche";"5,1";"Brasserie Haacht"
"Wieze Christmas Tripel Hop";"Triple Bière de Noël";"8";"Brasserie Wieze"
"Wieze Tripel Blond";"Triple";"8";"Brasserie Wieze"
"Wieze Tripel zoet Bruin";"Triple";"8";"Brasserie Wieze"
"Wildebok";"Fermentation haute, Bock";"6,5";"De Scheldebrouwerij"
"Wilderen Goud";"Fermentation haute";"6,2";"Brasserie Wilderen"
"Wilderen Kriek";"Kriek";"3,5";"Brasserie Wilderen"
"Willy Kriegelbière";"Blonde";"7";"Huisbrouwerij Sint Canarus"
"Winterkoninck";"Rouge";"6,5";"Brasserie De Koninck (Brasserie Duvel Moortgat)"
"Winterkoninkske";"Fermentation haute";"8,3";"Brasserie Cornelissen pour la Brasserie Kerkom"
"Winterkoninkske Haspengouwse Grand Cru";"Fermentation haute, Bière de Noël";"13";"Brasserie Cornelissen pour la Brasserie Kerkom"
"Wintersnood";"Bière de Noël";"6,4";"'t Hofbrouwerijke pour la De Verhuisbrouwerij"
"Wit Goud";"Fermentation haute";"8";"Brasserie Hof ten Dormaal"
"Witheer";"Blanche";"5";"Scheldebrouwerij"
"Witkap Pater Dubbel";"Fermentation haute, Brune";"7";"Brasserie Slaghmuylder"
"Witkap Pater Special";"Fermentation haute, Ambrée";"5,5";"Brasserie Slaghmuylder"
"Witkap Pater Stimulo";"Fermentation haute, Blonde";"6";"Brasserie Slaghmuylder"
"Witkap Pater Tripel";"Fermentation haute, Triple";"7,5";"Brasserie Slaghmuylder"
"Witte Pol";"Blanche";"5,6";"Brasserie Inter-Pol"
"Wittekerke";"Blanche";"5";"Brasserie De Brabandere"
"Wittekerke Passion";"Blanche, Fruitée";"5,8";"Brasserie De Brabandere"
"Wittekerke Rosé";"Blanche, Fruitée";"4,3";"Brasserie De Brabandere"
"Wittoen";"Fermentation haute, Triple";"7";"Brasserie Strubbe"
"Wolf 7";"Blonde";"7,4";"Brasserie Lupus"
"Wolf 8";"Brune";"8,5";"Brasserie Lupus"
"Wolf 9";"Ambrée";"9";"Brasserie Lupus"
"Wostyntje";"Bière à la moutarde";"7";"Brasserie De Regenboog"
"Xenophon’s Wine";;"11";"De Struise Brouwers"
"X-Mas Beer";"Fermentation haute, Blonde";"8,5";"Brasserie Contreras"
"X-Mas Zinnebir";"Bière de saison, Brune";"7,8";"Brasserie de la Senne"
"XX Bitter";"Fermentation haute, Blonde";"6,2";"Brasserie De Ranke"
"XXX Bitter";"Fermentation haute, Blonde";"6,2";"Brasserie De Ranke"
"Yperman";"Ale";"5,5";"Brasserie Het Sas"
"Yellow Mortal";"Ale";"7,2";"Brasserie Mortal's Beers"
"Zatte Bie";"Brune";"9";"Brasserie De Bie"
"Zeezuiper";"Blonde dorée, Triple";"8";"De Scheldebrouwerij"
"Zennenat";"Fermentation haute";"6,0";"Brasserie Den Herberg"
