"Blondine IPA";"IPA";"8";"Brasserie De Graal pour Hopduvel Gent"
"Bobeline black label";"Brune";"8,5";"Brasserie Huyghe"
"Bobeline blanche fraise";"Blanche";"3,6";"Brasserie Huyghe"
"Bobeline blonde";"Blonde";"8,5";"Brasserie Huyghe"
"Bock Leroy";"Bière de table";"1,8";"Brasserie Het Sas"
"Bock Pils";"Pils";"5,2";"Brasserie Palm"
"Bockor Pils";"Fermentation basse, Pils";"5,2";"Brasserie Bockor"
"Bocq Christmas";"Bière de Noël";"8,1";"Brasserie du Bocq"
"Boembeke Luiwerk";"Blonde";"6,5";"Brasserie De Graal"
"Boerinneken";"Fermentation haute, Blonde";"9,5";"De Proefbrouwerij pour Den Ouden Advokaat"
"Boerke Blond";"Blonde";"6,8";"Brasserie Angerik"
"Boerke Bruin";"Brune";"6,8";"Brasserie Angerik"
"Boerke Krieken";"Fruitée";"6,5";"Brasserie Angerik"
"Boerken";"Fermentation haute, Brune";"9,5";"De Proefbrouwerij pour Den Ouden Advokaat"
"Bokkereyer";"Fermentation basse";"6";"Brasserie Cornelissen"
"Bolleville Calvados Barrel OA";;"10";"Brasserie Alvinne"
"Bokrijks";"Blonde, Abbaye";"7,2";"Brasserie du Bocq"
"Bon Homme";"Fermentation haute, Brune";"6,5";"Brasserie De Leite"
"Bon Secours Ambrée";"Fermentation haute, Ambrée";"8";"Brasserie Caulier"
"Bon Secours Blonde";"Fermentation haute, Blonde";"8";"Brasserie Caulier"
"Bon Secours Brune";"Fermentation haute, Brune";"8";"Brasserie Caulier"
"Bon Secours Framboise";"Fermentation haute, Fruitée";"7";"Brasserie Caulier"
"Bon Secours Myrtille";"Fermentation haute, Fruitée";"7";"Brasserie Caulier"
"Bon Secours Noël";"Fermentation haute, Blonde, Bière de Noël";"10";"Brasserie Caulier"
"Boneffe";"Abbaye";"9";"Brasserie de Tubize"
"Bons vœux";"Blonde";"9,5";"Brasserie Dupont"
"Bornem Dubbel";"Abbaye";"8";"Brasserie Van Steenberge"
"Bornem Tripel";"Abbaye";"9";"Brasserie Van Steenberge"
"Bos bier";"Fruitée";"9";"Brasserie DijkWaert"
"Bosbier";"Fruitée, Pils";"4";"Brasserie Cornelissen"
"Boscoli";"Fruitée";"3,5";"Brasserie Het Anker"
"Boskeun";"Blonde";"7";"De Dolle Brouwers"
"Bosprotter";"Triple";"8,5";"'t Hofbrouwerijke"
"La Botteresse Ambrée";"Fermentation haute";"8,5";"Brasserie La Botteresse de Sur-les-Bois"
"La Botteresse de Noël";"Fermentation haute, Bière de Noël";"10,5";"Brasserie La Botteresse de Sur-les-Bois"
"La Botteresse Blonde";"Fermentation haute";"7,5";"Brasserie La Botteresse de Sur-les-Bois"
"La Botteresse Brune";"Fermentation haute";"9,5";"Brasserie La Botteresse de Sur-les-Bois"
"La Botteresse aux cerises";"Fermentation haute, Fruitée";"5,5";"Brasserie La Botteresse de Sur-les-Bois"
"La Botteresse Ambrée au miel";"Fermentation haute, Bière au miel";"8,5";"Brasserie La Botteresse de Sur-les-Bois"
"La Botteresse aux pommes";"Fermentation haute, Fruitée";"5,4";"Brasserie La Botteresse de Sur-les-Bois"
"La Bouillonnaise";"Brune, Fermentation haute";"7";"Brasserie de Bouillon"
"Bourgogne des Flandres Blond";"Fermentation haute, Blonde";"6";"Brasserie Bourgogne des Flandres"
"Bourgogne des Flandres Bruin";"Vieille brune";"5";"Brasserie Bourgogne des Flandres"
"BR Blonde";"Blonde";"6,2";"Brasserie Demanez"
"La Brabançonne Ambrée";"Ambrée";"7,5";"Brasserie du Brabant"
"La Brabançonne Blonde au Miel";"Blonde";"6,5";"Brasserie du Brabant"
"La Brabançonne Brune";"Brune";"9,1";"Brasserie du Brabant"
"Brasserie des Rocs Triple Impériale";;"10";"Brasserie de l'Abbaye des Rocs"
"Brave Broeder";"Fermentation haute (Bière-étiquette)";"5";"Brasserie de Silly"
"Bravoure";"Fermentation haute, Rauchbier, Ambrée";"6,5";"Brasserie De Dochter van de Korenaar"
"Bremserbière";"Ambrée";"6";"Huisbrouwerij de 3 vaten"
"Brice";"Blonde";"7,5";"Brasserie Grain d'Orge"
"Briekebakker";"Triple";"8,7";"Brasserie Alvinne"
"Brigand";"Blonde";"9";"Brasserie Van Honsebrouck"
"Brigand IPA";"IPA";"6,5";"Brasserie Van Honsebrouck"
"Broeder Jacob Formidabel";"blonde";"5,5";"Brasserie Broeder Jacob"
"Broeder Jacob Bruin";"Brune";"7,5";"Brasserie Broeder Jacob"
"Broeder Jacob Tripel";"Triple";"7,5";"Brasserie Broeder Jacob"
"Brogne Blonde";"Blonde";"6.5";"Abbaye de Brogne"
"Brown Sugar";"Brune";"9";"Brasserie Grain d'Orge"
"Bruegel";"Ambrée";"5";"Brasserie Van Steenberge"
"Brugge Blond";"Spéciale, Fermentation haute";"6,5";"Brasserie Palm (Précédemment brassée dans la Brasserie De Gouden Boom)"
"Brugge Tripel";"Spéciale, Fermentation haute";"8,7";"Brasserie Palm (Précédemment brassée dans la Brasserie De Gouden Boom)"
"Brugs";"Blanche";"4,8";"Alken-Maes (Heineken) (Précédemment brassée dans la Brasserie De Gouden Boom)"
"Brugs Beertje 20";"Blonde";"6,5";"Brasserie De Regenboog"
"Brugs Beertje 25";"Ambrée";"9";"Brasserie De Regenboog"
"Brugse Babbelaar";"Blonde";"6,5";"De Proefbrouwerij"
"Brugse Bok";"Brune";"6,5";"Brasserie De Halve Maan"
"Brugse Zot Blond";"Blonde dorée";"6";"Brasserie De Halve Maan"
"Brugse Zot Dubbel";"Brune";"7,5";"Brasserie De Halve Maan"
"Bruin Leroy";"Bière de table";"1,8";"Brasserie Het Sas"
"Brune";"Brune";"6,8";"Brasserie de Bellevaux"
"Brunehaut Terroir";"Blanche";"5";"Brasserie de Brunehaut"
"Brunehaut Tradition";"Ambrée";"6,5";"Brasserie de Brunehaut"
"Brunehaut Village";"Blonde";"6,5";"Brasserie de Brunehaut"
"Brunehaut Bio Amber";"Bio";"6,5";"Brasserie de Brunehaut"
"Brunehaut Bio Blanche";"Bio, Blanche";"5";"Brasserie de Brunehaut"
"Brunehaut Bio Blonde";"Bio";"6,5";"Brasserie de Brunehaut"
"Brunette";"Fermentation haute";"9";"Brasserie Van Steenberge pour Hopduvel Gent"
"Brussels Framboos";"Fruitée";"3,5";"Brasserie Van Steenberge"
"Brussels Kriek";"Fruitée";"5";"Brasserie Van Steenberge"
"Brussels Perzik";"Fruitée";"4";"Brasserie Van Steenberge"
"Brussels Fruit Beer ""Apple""";"Fruitée";"3,2";"Brasserie du Bocq"
"Brussels Fruit Beer ""Peaches""";"Fruitée";"3,2";"Brasserie du Bocq"
"Brussels Fruit Beer ""Red Fruit""";"Fruitée";"3,2";"Brasserie du Bocq"
"Brut";"Blonde";"8";"Brasserie De Vlier"
"Bruynen Moriaen";"Brune";"9";"Brasserie Van Eecke"
"BRWN";"Fermentation haute, Bio";"7";"De Proefbrouwerij pour la Brasserie Jessenhofke"
"Buffalo";"Fermentation haute, Brune";"6,5";"Brasserie Van Den Bossche"
"Buffalo Belgian Stout";"Stout";"9";"Brasserie Van Den Bossche"
"Buffalo Bitter";"Blonde";"8";"Brasserie Van Den Bossche"
"Bush Ambrée";"Fermentation haute, Ambrée";"12";"Brasserie Dubuisson"
"Bush Ambrée Triple";"Triple, Ambrée";"12";"Brasserie Dubuisson"
"Bush Blonde";"Fermentation haute, Blonde";"10,5";"Brasserie Dubuisson"
"Bush Blonde Triple";"Triple, Blonde";"10,5";"Brasserie Dubuisson"
"Bush de Noël";"Bière de Noël";"12";"Brasserie Dubuisson"
"Bush de Noël Premium";"Bière de Noël, Triple";"13";"Brasserie Dubuisson"
"Bush de Nuits";"Ambrée, Triple";"13";"Brasserie Dubuisson"
"Bush Prestige";"Ambrée, Triple";"13";"Brasserie Dubuisson"
"Bush 7";"Ambrée";"7,5";"Brasserie Dubuisson"
"La Cambrée";"Ambrée";"6,5";"Brasserie de la Lesse"
"Cambrinus";"Ale";"5,1";"Brasserie Verhaeghe"
"Campus Premium";"Pils";"5";"Brasserie Huyghe"
"Campus";"Brune";"7";"Brasserie Huyghe"
"Campus Gold";"Blonde";"6,2";"Brasserie Huyghe"
"Canaille";"Blanche";"5,2";"Brasserie Grain d'Orge"
"Canaster";"Ale";"8,7";"Brasserie De Glazen Toren"
"Cantillon Fou'Foune";"Gueuze";"5";"Brasserie Cantillon"
"Cantillon Grand Cru Bruocsella";"Gueuze";"5";"Brasserie Cantillon"
"Cantillon Gueuze 100 Lambic";"Gueuze";"5";"Brasserie Cantillon"
"Cantillon Gueuze 100 Lambic Bio";"Gueuze";"5";"Brasserie Cantillon"
"Cantillon Gueuze ""drapeau belge""";"Gueuze";"5";"Brasserie Cantillon"
